EdFiEntity,EdFiEntityPath,EdFiElementName,EdFiElementType,EdFiRequired,EdFiElementDescription,EdFiEntityDescription,CEDSElementName,CEDSElementType,CEDSElementDefinition,CEDSGlobalId,CEDSMappingNotes,CEDSMappingConfidence,CEDSDWTable,CEDSDWColumn,CEDSDWElementType,CEDSStagingTable,CEDSStagingColumn,CEDSStagingElementType,CEDSOntologyClassURI,CEDSOntologyClassLabel,CEDSOntologyConceptSchemeURI,CEDSOntologyConceptSchemeLabel,CEDSOntologyPropertyURI,CEDSOntologyPropertyLabel,CEDSOntologyPropertyNotation,CEDSOntologyPropertyRangeIncludes
Credential,ExpirationDate,ExpirationDate,Date,0,"The month, day, and year on which an active credential held by an individual will expire. Note: Date interpretation may vary. Ed-Fi recommends inclusive dates, but states may define dates as inclusive or exclusive. For calculations, align with local guidelines.",The legal document giving authorization to perform teaching assignment services.,,,,,,,,,,,,,,,,,,,,
DescriptorMapping,MappedNamespace,MappedNamespace,String,1,The namespace of the descriptor value to which the from descriptor value is mapped to.,A mapping of a descriptor value in one namespace to a descriptor value in another namespace. This can be used to exchange known contextual mappings of enumeration values.,,,,,,,,,,,,,,,,,,,,
DisciplineAction,RelatedToZeroTolerancePolicy,RelatedToZeroTolerancePolicy,Boolean,0,An indication of whether or not this disciplinary action taken against a student was imposed as a consequence of state or local zero tolerance policies.,This event entity represents actions taken by an education organization after a disruptive event that is recorded as a discipline incident.,,,,,,,,,,,,,,,,,,,,
EducationContent,LearningResourceChoice.LearningResource.AdditionalAuthorsIndicator,AdditionalAuthorsIndicator,Boolean,0,"Indicates whether there are additional un-named authors. In a research report, this is often marked by the abbreviation ""et al"".","This entity represents materials for students or teachers that can be used for teaching, learning, research, and more. Education content includes full courses, course materials, modules, intervention descriptions, textbooks, streaming videos, tests, software, and any other tools, materials, or techniques used to support access to knowledge.",,,,,,,,,,,,,,,,,,,,
EducationOrganization,InternationalAddress.AddressLine2,AddressLine2,String,0,The second line of the address.,"This entity represents any public or private institution, organization, or agency that provides instructional or support services to students or staff at any level.",,,,,,,,,,,,,,,,,,,,
EducationOrganization,EducationOrganizationIndicator.Period.EndDate,EndDate,Date,0,"The month, day, and year for the end of the period. Note: Date interpretation may vary. Ed-Fi recommends inclusive dates, but states may define dates as inclusive or exclusive. For calculations, align with local guidelines.","This entity represents any public or private institution, organization, or agency that provides instructional or support services to students or staff at any level.",,,,,,,,,,,,,,,,,,,,
EducationOrganization,WebSite,WebSite,String,0,The public web site address (URL) for the education organization.,"This entity represents any public or private institution, organization, or agency that provides instructional or support services to students or staff at any level.",,,,,,,,,,,,,,,,,,,,
EducationOrganizationNetwork,EducationOrganization.Address.Period.BeginDate,BeginDate,Date,1,"The month, day, and year for the start of the period. Note: Date interpretation may vary. Ed-Fi recommends inclusive dates, but states may define dates as inclusive or exclusive. For calculations, align with local guidelines.",This entity is a self-organized membership network of peer-level education organizations intended to provide shared services or collective procurement.,,,,,,,,,,,,,,,,,,,,
EducationOrganizationNetwork,EducationOrganization.InternationalAddress.Latitude,Latitude,String,0,The geographic latitude of the physical address.,This entity is a self-organized membership network of peer-level education organizations intended to provide shared services or collective procurement.,,,,,,,,,,,,,,,,,,,,
EducationServiceCenter,EducationOrganization.Address.Period.BeginDate,BeginDate,Date,1,"The month, day, and year for the start of the period. Note: Date interpretation may vary. Ed-Fi recommends inclusive dates, but states may define dates as inclusive or exclusive. For calculations, align with local guidelines.","This entity represents a regional, multi-services public agency authorized by state law to develop, manage and provide services, programs, or other support options (e.g., construction, food services, and technology services) to LEAs.",,,,,,,,,,,,,,,,,,,,
EducationServiceCenter,EducationOrganization.InternationalAddress.Latitude,Latitude,String,0,The geographic latitude of the physical address.,"This entity represents a regional, multi-services public agency authorized by state law to develop, manage and provide services, programs, or other support options (e.g., construction, food services, and technology services) to LEAs.",,,,,,,,,,,,,,,,,,,,
EmploymentPeriod,Separation,SeparationDescriptor,Descriptor,0,Type of employment separation.,,,,,,,,,,,,,,,,,,,,,
