EdFiEntity,EdFiEntityPath,EdFiElementName,EdFiElementType,EdFiRequired,EdFiElementDescription,EdFiEntityDescription,CEDSElementName,CEDSElementType,CEDSElementDefinition,CEDSGlobalId,CEDSMappingNotes,CEDSMappingConfidence,CEDSDWTable,CEDSDWColumn,CEDSDWElementType,CEDSStagingTable,CEDSStagingColumn,CEDSStagingElementType,CEDSOntologyClassURI,CEDSOntologyClassLabel,CEDSOntologyConceptSchemeURI,CEDSOntologyConceptSchemeLabel,CEDSOntologyPropertyURI,CEDSOntologyPropertyLabel,CEDSOntologyPropertyNotation,CEDSOntologyPropertyRangeIncludes
Contact,Address.ApartmentRoomSuiteNumber,ApartmentRoomSuiteNumber,String,0,"The apartment, room, or suite number of an address.","This entity represents a contact of a student, such as a parent, guardian or caretaker.",Address Apartment Room or Suite Number,Alphanumeric - 60 characters maximum,"The apartment, room, or suite number of an address.",000019,,Yes,,,,,,,http://ceds.ed.gov/terms#C200238,Location Address,,,http://ceds.ed.gov/terms#P000019,Address Apartment Room or Suite Number,AddressApartmentRoomOrSuiteNumber,http://www.w3.org/2001/XMLSchema#string
Contact,Address.BuildingSiteNumber,BuildingSiteNumber,String,0,"The number of the building on the site, if more than one building shares the same address.","This entity represents a contact of a student, such as a parent, guardian or caretaker.",Building Site Number,Alphanumeric - 60 characters maximum,"The number of the building on the site, if more than one building shares the same address.",000602,,Yes,,,,,,,http://ceds.ed.gov/terms#C200123,Location Address,,,http://ceds.ed.gov/terms#P000602,Building Site Number,BuildingSiteNumber,http://www.w3.org/2001/XMLSchema#string
Contact,Address.City,City,String,1,The name of the city in which an address is located.,"This entity represents a contact of a student, such as a parent, guardian or caretaker.",Address City,Alphanumeric - 30 characters maximum,The name of the city in which an address is located.,000040,,Yes,,,,,,,http://ceds.ed.gov/terms#C200238,Location Address,,,http://ceds.ed.gov/terms#P000040,Address City,AddressCity,http://www.w3.org/2001/XMLSchema#string
Contact,Address.CongressionalDistrict,CongressionalDistrict,String,0,The congressional district in which an address is located.,"This entity represents a contact of a student, such as a parent, guardian or caretaker.",Organization Name,Alphanumeric - 60 characters maximum,"The name of a non-person entity such as an organization, institution, agency or business.",000204,"The Organization Type would be Region. Recommend creating a new element in CEDS called Region Type with an option of Congressional District. Might need to specify Senate house, etc.",Yes,,,,,,,http://ceds.ed.gov/terms#C200239,Organization,,,http://ceds.ed.gov/terms#P000204,Organization Name,OrganizationName,http://www.w3.org/2001/XMLSchema#string
Contact,Address.CountyFIPSCode,CountyFIPSCode,String,0,"The Federal Information Processing Standards (FIPS) numeric code for the county issued by the National Institute of Standards and Technology (NIST). Counties are considered to be the ""first-order subdivisions"" of each State and statistically equivalent entity, regardless of their local designations (county, parish, borough, etc.) Counties in different States will have the same code. A unique county number is created when combined with the 2-digit FIPS State Code.","This entity represents a contact of a student, such as a parent, guardian or caretaker.",Not in CEDS,,,000000,Recommend adding to CEDS. Issue 246 in the Elements Repository. Easy addition.,Not in CEDS,,,,,,,,,,,,,,
Contact,Address.Latitude,Latitude,String,0,The geographic latitude of the physical address.,"This entity represents a contact of a student, such as a parent, guardian or caretaker.",Latitude,Alphanumeric - 20 characters maximum,"The north or south angular distance from the equator that, when combined with longitude, reflects an estimation of where the address is physically situated.",000606,,Yes,,,,,,,http://ceds.ed.gov/terms#C200238,Location Address,,,http://ceds.ed.gov/terms#P000606,Latitude,Latitude,http://www.w3.org/2001/XMLSchema#string
Contact,Address.Longitude,Longitude,String,0,The geographic longitude of the physical address.,"This entity represents a contact of a student, such as a parent, guardian or caretaker.",Longitude,Alphanumeric - 20 characters maximum,"The east or west angular distance from the prime meridian that, when combined with latitude, reflects an estimation of where the address is physically situated.",000607,,Yes,DimPersonAddresses,Longitude,nvarchar(20),,,,http://ceds.ed.gov/terms#C200238,Location Address,,,http://ceds.ed.gov/terms#P000607,Longitude,Longitude,http://www.w3.org/2001/XMLSchema#string
Contact,Address.NameOfCounty,NameOfCounty,String,0,"The name of the county, parish, borough, or comparable unit (within a state) in which an address is located.","This entity represents a contact of a student, such as a parent, guardian or caretaker.",Address County Name,Alphanumeric - 30 characters maximum,"The name of the county, parish, borough, or comparable unit (within a state) in which an address is located.",000190,,Yes,,,,,,,http://ceds.ed.gov/terms#C200238,Location Address,,,http://ceds.ed.gov/terms#P000190,Address County Name,AddressCountyName,http://www.w3.org/2001/XMLSchema#string
Contact,Address.PostalCode,PostalCode,String,1,The five or nine digit zip code or overseas postal code portion of an address.,"This entity represents a contact of a student, such as a parent, guardian or caretaker.",Address Postal Code,Alphanumeric - 17 characters maximum,A number that identifies each postal delivery area in the United States used as a portion of an address.,000214,,Yes,,,,,,,http://ceds.ed.gov/terms#C200238,Location Address,,,http://ceds.ed.gov/terms#P000214,Address Postal Code,AddressPostalCode,http://www.w3.org/2001/XMLSchema#string
Contact,Address.StreetNumberName,StreetNumberName,String,1,The street number and street name or post office box number of an address.,"This entity represents a contact of a student, such as a parent, guardian or caretaker.",Address Street Number and Name,Alphanumeric - 150 characters maximum,The street number and street name or post office box number of an address.,000269,,Yes,,,,,,,http://ceds.ed.gov/terms#C200238,Location Address,,,http://ceds.ed.gov/terms#P000269,Address Street Number and Name,AddressStreetNumberAndName,http://www.w3.org/2001/XMLSchema#string
Contact,ContactUniqueId,ContactUniqueId,String,1,A unique alphanumeric code assigned to a contact.,"This entity represents a contact of a student, such as a parent, guardian or caretaker.",Not in CEDS,,,000000,,Not in CEDS,,,,,,,,,,,,,,
Contact,ElectronicMail.ElectronicMailAddress,ElectronicMailAddress,String,1,The electronic mail (e-mail) address listed for an individual or organization.,"This entity represents a contact of a student, such as a parent, guardian or caretaker.",Electronic Mail Address,Alphanumeric - between 7 and 128 characters,"The numbers, letters, and symbols used to identify an electronic mail (e-mail) user within the network to which the person or organization belongs.",000088,,Yes,,,,,,,http://ceds.ed.gov/terms#C200247,Person Email Address,,,http://ceds.ed.gov/terms#P000088,Electronic Mail Address,ElectronicMailAddress,http://www.w3.org/2001/XMLSchema#string
Contact,GenderIdentity,GenderIdentity,String,0,The gender the contact identifies themselves as.,"This entity represents a contact of a student, such as a parent, guardian or caretaker.",Not in CEDS,,,000000,,Not in CEDS,,,,,,,,,,,,,,
Contact,InternationalAddress.AddressLine1,AddressLine1,String,1,The first line of the address.,"This entity represents a contact of a student, such as a parent, guardian or caretaker.",Address Street Number and Name,Alphanumeric - 150 characters maximum,The street number and street name or post office box number of an address.,000269,,Yes,,,,,,,http://ceds.ed.gov/terms#C200238,Location Address,,,http://ceds.ed.gov/terms#P000269,Address Street Number and Name,AddressStreetNumberAndName,http://www.w3.org/2001/XMLSchema#string
Contact,InternationalAddress.AddressLine2,AddressLine2,String,0,The second line of the address.,"This entity represents a contact of a student, such as a parent, guardian or caretaker.",Not in CEDS,,,000000,,Not in CEDS,,,,,,,,,,,,,,
Contact,InternationalAddress.AddressLine3,AddressLine3,String,0,The third line of the address.,"This entity represents a contact of a student, such as a parent, guardian or caretaker.",Not in CEDS,,,000000,,Not in CEDS,,,,,,,,,,,,,,
Contact,InternationalAddress.AddressLine4,AddressLine4,String,0,The fourth line of the address.,"This entity represents a contact of a student, such as a parent, guardian or caretaker.",Not in CEDS,,,000000,,Not in CEDS,,,,,,,,,,,,,,
Contact,InternationalAddress.Latitude,Latitude,String,0,The geographic latitude of the physical address.,"This entity represents a contact of a student, such as a parent, guardian or caretaker.",Latitude,Alphanumeric - 20 characters maximum,"The north or south angular distance from the equator that, when combined with longitude, reflects an estimation of where the address is physically situated.",000606,,Yes,,,,,,,http://ceds.ed.gov/terms#C200238,Location Address,,,http://ceds.ed.gov/terms#P000606,Latitude,Latitude,http://www.w3.org/2001/XMLSchema#string
Contact,InternationalAddress.Longitude,Longitude,String,0,The geographic longitude of the physical address.,"This entity represents a contact of a student, such as a parent, guardian or caretaker.",Longitude,Alphanumeric - 20 characters maximum,"The east or west angular distance from the prime meridian that, when combined with latitude, reflects an estimation of where the address is physically situated.",000607,,Yes,DimPersonAddresses,Longitude,nvarchar(20),,,,http://ceds.ed.gov/terms#C200238,Location Address,,,http://ceds.ed.gov/terms#P000607,Longitude,Longitude,http://www.w3.org/2001/XMLSchema#string
Contact,LoginId,LoginId,String,0,The login ID for the user; used for security access control interface.,"This entity represents a contact of a student, such as a parent, guardian or caretaker.",Authentication Identity Provider Login Identifier,Alphanumeric - 40 characters maximum,The login identifier for the person for the specified Authentication Identity Provider.,001170,,Yes,,,,,,,http://ceds.ed.gov/terms#C200054,Authentication,,,http://ceds.ed.gov/terms#P001170,Authentication Identity Provider Login Identifier,AuthenticationIdentityProviderLoginIdentifier,http://www.w3.org/2001/XMLSchema#string
